,2HRW-USG-A1,2SRW-USG-A1,JCI-WHT-SHHAI,JCI-WHT-GZHOU,BRSB-APW1-CY1,ALBN-AGP1-CY1,ALBN-ASW1-CY1,ALBN-AUH2-CY1,W-FOBROUEN-P1,W-RENLPL-P1,W-FOBBLTNC-E14,W-NGP-308,KTS-W11UABS-FOB,KTS-W12UABS-FOB,KTS-W11RUBS-FOB,KTS-W12RUBS-FOB
2020-09-15,253.2194497334882,250.96703535541016,366.7587243326615,372.67737418497404,210.9493494640705,204.24419559885916,212.07136113592568,210.05734147969542,226.32306481444687,224.24568931956307,242.61809083121423,375.04149319975403,228.17031462106706,228.3448554365796,228.2647046985812,228.03906927075744
2020-09-16,253.02078204866646,250.85912147356743,366.92306342028076,372.7879879260525,210.73211138825891,204.0045246871459,211.86234868889673,209.7514310049091,226.42767287503835,224.3202876619312,244.54413570735775,375.0350598792923,228.64370967512124,229.2286685661953,228.89034633752632,228.50361650648594
2020-09-17,253.29045292992618,251.47634444299786,367.1638353217096,372.9802309008415,210.07650522854897,203.41846215964233,210.946499301236,209.1857148106011,226.13593664920072,224.36617895750052,244.38352994874808,375.6296778661429,228.73909256996603,229.35639607308414,229.01522652448577,228.58243173200495
2020-09-18,254.3025157654338,252.1281540239475,367.54257873361604,373.3935520525876,206.09728205619268,203.32445241326909,210.9385277846738,208.91726231967021,226.73673720781306,224.72307398747418,244.96519574291844,376.1411101071797,229.42699525352432,230.00548390144326,229.9148640703387,229.23649721702972
2020-09-19,254.547874725711,252.45910346337286,367.79489605034354,373.65948918760756,205.27441084206652,204.18594391578873,212.16392769792313,209.04284869781068,227.0918134442601,224.9963188126755,242.92854645905427,376.39648858258744,229.87079562262957,230.20483417759388,230.33212098625702,229.53986638397564
2020-09-20,254.5342445613603,252.51836005169798,368.10669102882025,374.0399654675922,205.5052353749311,203.98495989047822,211.8869624902299,208.84481144600792,227.1611197185826,224.9669545986599,245.60409840840757,376.5193594379727,231.44001595555113,231.12514511642215,230.88834488905212,230.15979552332197
2020-09-21,254.76099851882347,252.9610630235068,368.31494341312674,374.2362472561576,205.47116099169165,203.1988112668941,210.6884800468124,208.24310182319405,226.93688204700007,225.0383458590104,245.24306298079452,376.9867696993542,231.7675718079061,231.27334571440997,230.90954794912437,230.21887823481546
2020-09-22,254.82598972957217,253.0899803189788,368.64628457236523,374.55855961826796,202.22478105664803,203.0052781631479,210.39602756505698,208.03084755595626,227.34888587608833,225.44224731266425,245.79933394170035,377.55947285071204,232.63626093682694,231.7936622511308,231.67488673675498,230.67198366332028
2020-09-23,254.83710166818835,253.55385141493784,368.86536943109985,374.7631475398049,201.62619485607036,203.20723745853616,210.26659473550447,208.15517577070347,227.8822376650645,225.9519290701198,244.22264787063844,377.7969449103863,232.88268646020197,231.99072488048756,231.97085089170272,230.63180538015337
2020-09-24,254.56112988106827,253.50243984343157,369.10031019559835,374.91559776638627,201.9351733527812,203.2735270539712,210.4795047203626,207.9228632104682,227.79008077117504,225.82994959777577,246.36426529089118,377.8127212708608,233.378143213145,232.63967723108794,232.4485610946753,231.01799404824595
2020-09-25,254.95281151872635,253.89049109214005,369.30995701074426,375.18176606917797,202.10140256062533,202.00317447797673,208.80293815894487,207.35034863273287,227.54301426981004,225.94250272456085,246.09847825914775,378.4263434761494,233.4285683886904,232.5836193264244,232.36067888919857,230.87473020060168
2020-09-26,255.9540733582184,253.88505039661683,369.6785433008336,375.6864850236554,199.5464757531893,201.900824325456,208.70540186475804,207.12610752438002,228.0199583689059,226.25244365845418,246.43277121338306,378.9466958918684,234.40069536393057,233.05990231256445,232.94348482003448,231.31002511694072
2020-09-27,256.155996108245,254.35983597217322,369.9247691907186,375.93010367617813,199.53930491955614,201.94109650669807,208.3941820782882,207.247235871315,228.58418447378605,226.65953173099237,245.28466022021377,379.1662606012995,234.73271830285552,233.21018119433668,233.21921974690457,231.4338482773233
2020-09-28,256.08107515147304,253.9532079350277,370.1623597582471,376.19636831373134,199.38668342490223,201.74187548511267,208.11094341596754,207.02432922819585,228.38901342441946,226.4907790271968,246.96049758173882,379.1801904896536,235.89132711728223,234.00653433156555,233.73189642980978,231.92746393653127
2020-09-29,256.3824392890134,254.4414621601519,370.3725528690805,376.44463697976573,199.0922046549164,200.96882419229755,207.526441010383,206.44902373815762,228.0618384497174,226.41755724232542,246.56975267038302,379.7725552656564,236.31890385172434,234.061816204851,233.56980655741796,231.8997199911205
2020-09-30,256.7811195572626,254.94053221506925,370.7555562853299,376.87451435668316,197.0668878508932,200.75107548949313,207.2046682190051,206.22894370126832,228.67783437393527,226.96202836876188,247.33517937463628,380.2593331536871,236.94660974717203,234.5630964440794,234.07487605909182,232.3566422219579
2020-10-01,256.864011509596,255.4404665609427,370.9828646309887,377.10772659477243,197.2523041773487,200.85377380751078,206.91938705698226,206.34942358575722,229.1385679951411,227.42560619385432,246.4202957313854,380.4762791042936,237.3260161038168,234.7404965118358,234.29014694967046,232.39899046931097
2020-10-02,256.6619634269621,255.01663141602776,371.16500139046457,377.3663036568842,196.91235457597853,200.8404512257044,206.87852600272205,206.13054133394692,229.0281419542408,227.29656955351697,247.9271855701397,380.48118860887365,238.13170336836083,235.45327411575863,234.71702716643267,232.84143692866522
2020-10-03,256.9566157085777,255.53882211692124,371.38536788603784,377.61325193272205,196.37465906079007,200.08454166822938,206.41398932703513,205.55650244291462,228.64487369199188,227.28334419858643,247.47802675687058,381.0822747901651,238.05870294099134,235.44066457442486,234.5697660509043,232.7541036994166
2020-10-04,257.70821345606015,256.22314978859237,371.8019986963784,378.04341007292356,194.27660995353293,199.96294714139447,206.24685732589987,205.3387870527977,229.36054662626702,227.75141057493576,248.47978655094215,381.56366318974597,238.6395810615812,235.93154865297691,235.17555331415323,233.20282343551992
2020-10-05,257.87744949088227,256.717171151016,372.04691425064436,378.27702047503817,194.24870103520848,200.1137688057614,206.02516149356958,205.45885698739463,229.83504208244713,228.1868380716906,247.41063804242538,381.78258921515834,238.97317880162493,236.0940482987684,235.46059278413915,233.28788893414273
2020-10-06,257.72783972197584,256.3357737874959,372.2620582937994,378.53626089526153,194.00911404381708,199.9508777466095,205.6238067430767,205.24060211463566,229.77495521980387,228.06021065683117,249.14069809499654,381.79474260376253,239.96189429631883,236.86494178169522,235.9565091159611,233.75962847042348
2020-10-07,258.1000828056852,256.8560141678298,372.4782611984714,378.78392739351153,193.53943972413285,199.3038735498674,205.536950552686,204.66947489433306,229.4800800252656,228.04949947546208,248.72653017427015,382.3878853770229,240.13733418006342,236.89378797281435,235.85467794284563,233.70275747457936
2020-10-08,258.6624277966963,257.4453073109066,372.8784488731135,379.21540034246055,191.12708884696835,199.10877800596444,205.20363944039758,204.45262341141714,230.06444668506302,228.52067570407644,249.64626235120699,382.8746011689738,240.74870310974254,237.395853390729,236.4936504215405,234.158433889453
2020-10-09,258.76963987287024,257.93194772677487,373.11484323729496,379.4497282340424,190.92028744800794,199.15779492712767,205.03798494737612,204.5721770673195,230.53934659214906,228.9690957175066,248.38202119131049,383.09580047594034,241.1092600150827,237.56906629206506,236.76124083175264,234.22181842505603
2020-10-10,258.5705730257038,257.59022252833836,373.3128881303235,379.70976975167457,190.82467876395273,198.9831439682743,204.6790293537249,204.35490542632365,230.4716300392048,228.84082312271303,250.29960781685057,383.10880973009586,242.01895570005885,238.3119261765807,237.2301482297581,234.68116169747526
2020-10-11,258.880591034716,258.1015518168172,373.53232964420886,379.9582030996448,190.51332228904243,198.3637324426602,204.54427781646112,203.7862551225096,230.19177191942737,228.83992423031003,249.9108075262485,383.7048425925129,242.0726428277776,238.31568956215986,237.12135123349796,234.60812208456593
2020-10-12,259.63445294006783,258.67184440171104,373.94328944249514,380.39101330885586,188.04560156749517,198.18021271611252,204.30021496281785,203.57035840498133,230.74750690963592,229.2991019659458,250.70932104138458,384.1962228386115,242.67636585161222,238.8158131088421,237.7447945696809,235.0629103040456
2020-10-13,259.8016399217051,259.16341019963016,374.18539462794394,380.626067512372,187.82561607151328,198.31829477161443,204.50483591253854,203.68940063864954,231.2392301265599,229.74365430290865,249.40389052333623,384.41855776278754,243.0279337826853,238.98416071556704,238.02887335561348,235.13794061596752
2020-10-14,259.6524936986473,258.8225702392337,374.39367334490197,380.88691513992177,187.77303570995815,198.10732458823094,204.05104223070822,203.47312537237218,231.14925011682408,229.6112992000844,251.34037589078264,384.4323074532415,243.98831635442102,239.75142396831558,238.53363699987383,235.60647372872634
2020-10-15,260.0099066211277,259.33011688231954,374.61231621382296,381.1361186422916,187.5301697639635,197.55857343307935,203.883084831296,202.90690954448473,230.8598165166058,229.60149116836897,250.96515603590998,385.0300398792081,244.10340254714475,239.77057322167815,238.40739129617063,235.54139846882566
2020-10-16,260.5753258052979,259.8491426378165,375.01920498526323,381.5702706076191,185.18705292518908,197.36399283954606,203.59452621370986,202.69197086177255,231.4312608241107,230.07343416976698,251.7026034297219,385.5238719199461,244.71841107719482,240.2767642105947,238.99736890241277,235.99936928332505
2020-10-17,260.68689742609445,260.3413051436735,375.259259388612,381.8060535044919,185.05606305187274,197.53043175004126,203.81933238697326,202.81050398655157,231.92286958378654,230.52249264392384,250.45784143960728,385.7469051322741,245.07881343010604,240.44973134580553,239.2515534874818,236.06879735084013
2020-10-18,260.4882448234197,259.98741856380417,375.46286256731594,382.0677097896877,184.9531165768554,197.36033589426384,203.52565970823915,202.59516430895863,231.82656235816125,230.39076123738343,252.3190266528634,385.7602195692775,246.0258012619738,241.20954703611133,239.7198153053873,236.5353586551583
