,2HRW-USG-A1,2SRW-USG-A1,JCI-WHT-SHHAI,JCI-WHT-GZHOU,BRSB-APW1-CY1,ALBN-AGP1-CY1,ALBN-ASW1-CY1,ALBN-AUH2-CY1,W-FOBROUEN-P1,W-RENLPL-P1,W-FOBBLTNC-E14,W-NGP-308,KTS-W11UABS-FOB,KTS-W12UABS-FOB,KTS-W11RUBS-FOB,KTS-W12RUBS-FOB
2020-09-15,216.37332119736058,216.37332119736058,216.37332119736058,216.37332119736058,216.86847273882688,216.86847273882688,216.86847273882688,216.86847273882688,216.37332119736058,216.37332119736058,216.37332119736058,215.17674791691906,215.17674791691906,215.17674791691906,215.17674791691906,215.17674791691906
2020-09-16,216.86847273882688,216.86847273882688,216.86847273882688,216.86847273882688,217.4169972126074,217.4169972126074,217.4169972126074,217.4169972126074,216.86847273882688,216.86847273882688,216.86847273882688,215.31986785984182,215.31986785984182,215.31986785984182,215.31986785984182,215.31986785984182
2020-09-17,217.4169972126074,217.4169972126074,217.4169972126074,217.4169972126074,218.0149982146425,218.0149982146425,218.0149982146425,218.0149982146425,217.4169972126074,217.4169972126074,217.4169972126074,215.8446410043776,215.8446410043776,215.8446410043776,215.8446410043776,215.8446410043776
2020-09-18,218.0149982146425,218.0149982146425,218.0149982146425,218.0149982146425,218.69844738181132,218.69844738181132,218.69844738181132,218.69844738181132,218.0149982146425,218.0149982146425,218.0149982146425,216.37332119736058,216.37332119736058,216.37332119736058,216.37332119736058,216.37332119736058
2020-09-19,218.69844738181132,218.69844738181132,218.69844738181132,218.69844738181132,219.1921922141422,219.1921922141422,219.1921922141422,219.1921922141422,218.69844738181132,218.69844738181132,218.69844738181132,216.86847273882688,216.86847273882688,216.86847273882688,216.86847273882688,216.86847273882688
2020-09-20,219.1921922141422,219.1921922141422,219.1921922141422,219.1921922141422,220.09050037962587,220.09050037962587,220.09050037962587,220.09050037962587,219.1921922141422,219.1921922141422,219.1921922141422,217.4169972126074,217.4169972126074,217.4169972126074,217.4169972126074,217.4169972126074
2020-09-21,220.09050037962587,220.09050037962587,220.09050037962587,220.09050037962587,221.0097224003443,221.0097224003443,221.0097224003443,221.0097224003443,220.09050037962587,220.09050037962587,220.09050037962587,218.0149982146425,218.0149982146425,218.0149982146425,218.0149982146425,218.0149982146425
2020-09-22,221.0097224003443,221.0097224003443,221.0097224003443,221.0097224003443,221.90589356641897,221.90589356641897,221.90589356641897,221.90589356641897,221.0097224003443,221.0097224003443,221.0097224003443,218.69844738181132,218.69844738181132,218.69844738181132,218.69844738181132,218.69844738181132
2020-09-23,221.90589356641897,221.90589356641897,221.90589356641897,221.90589356641897,222.8589197457438,222.8589197457438,222.8589197457438,222.8589197457438,221.90589356641897,221.90589356641897,221.90589356641897,219.1921922141422,219.1921922141422,219.1921922141422,219.1921922141422,219.1921922141422
2020-09-24,222.8589197457438,222.8589197457438,222.8589197457438,222.8589197457438,223.8576134265792,223.8576134265792,223.8576134265792,223.8576134265792,222.8589197457438,222.8589197457438,222.8589197457438,220.09050037962587,220.09050037962587,220.09050037962587,220.09050037962587,220.09050037962587
2020-09-25,223.8576134265792,223.8576134265792,223.8576134265792,223.8576134265792,224.93053876671496,224.93053876671496,224.93053876671496,224.93053876671496,223.8576134265792,223.8576134265792,223.8576134265792,221.0097224003443,221.0097224003443,221.0097224003443,221.0097224003443,221.0097224003443
2020-09-26,224.93053876671496,224.93053876671496,224.93053876671496,224.93053876671496,225.7952013395146,225.7952013395146,225.7952013395146,225.7952013395146,224.93053876671496,224.93053876671496,224.93053876671496,221.90589356641897,221.90589356641897,221.90589356641897,221.90589356641897,221.90589356641897
2020-09-27,225.7952013395146,225.7952013395146,225.7952013395146,225.7952013395146,227.03877242342665,227.03877242342665,227.03877242342665,227.03877242342665,225.7952013395146,225.7952013395146,225.7952013395146,222.8589197457438,222.8589197457438,222.8589197457438,222.8589197457438,222.8589197457438
2020-09-28,227.03877242342665,227.03877242342665,227.03877242342665,227.03877242342665,228.2709249846481,228.2709249846481,228.2709249846481,228.2709249846481,227.03877242342665,227.03877242342665,227.03877242342665,223.8576134265792,223.8576134265792,223.8576134265792,223.8576134265792,223.8576134265792
2020-09-29,228.2709249846481,228.2709249846481,228.2709249846481,228.2709249846481,229.4415976737087,229.4415976737087,229.4415976737087,229.4415976737087,228.2709249846481,228.2709249846481,228.2709249846481,224.93053876671496,224.93053876671496,224.93053876671496,224.93053876671496,224.93053876671496
2020-09-30,229.4415976737087,229.4415976737087,229.4415976737087,229.4415976737087,230.625327323862,230.625327323862,230.625327323862,230.625327323862,229.4415976737087,229.4415976737087,229.4415976737087,225.7952013395146,225.7952013395146,225.7952013395146,225.7952013395146,225.7952013395146
2020-10-01,230.625327323862,230.625327323862,230.625327323862,230.625327323862,231.80641256551164,231.80641256551164,231.80641256551164,231.80641256551164,230.625327323862,230.625327323862,230.625327323862,227.03877242342665,227.03877242342665,227.03877242342665,227.03877242342665,227.03877242342665
2020-10-02,231.80641256551164,231.80641256551164,231.80641256551164,231.80641256551164,233.00986416250439,233.00986416250439,233.00986416250439,233.00986416250439,231.80641256551164,231.80641256551164,231.80641256551164,228.2709249846481,228.2709249846481,228.2709249846481,228.2709249846481,228.2709249846481
2020-10-03,233.00986416250439,233.00986416250439,233.00986416250439,233.00986416250439,233.95067522893999,233.95067522893999,233.95067522893999,233.95067522893999,233.00986416250439,233.00986416250439,233.00986416250439,229.4415976737087,229.4415976737087,229.4415976737087,229.4415976737087,229.4415976737087
2020-10-04,233.95067522893999,233.95067522893999,233.95067522893999,233.95067522893999,235.21459934031733,235.21459934031733,235.21459934031733,235.21459934031733,233.95067522893999,233.95067522893999,233.95067522893999,230.625327323862,230.625327323862,230.625327323862,230.625327323862,230.625327323862
2020-10-05,235.21459934031733,235.21459934031733,235.21459934031733,235.21459934031733,236.41101259721427,236.41101259721427,236.41101259721427,236.41101259721427,235.21459934031733,235.21459934031733,235.21459934031733,231.80641256551164,231.80641256551164,231.80641256551164,231.80641256551164,231.80641256551164
2020-10-06,236.41101259721427,236.41101259721427,236.41101259721427,236.41101259721427,237.49067563336527,237.49067563336527,237.49067563336527,237.49067563336527,236.41101259721427,236.41101259721427,236.41101259721427,233.00986416250439,233.00986416250439,233.00986416250439,233.00986416250439,233.00986416250439
2020-10-07,237.49067563336527,237.49067563336527,237.49067563336527,237.49067563336527,238.53003648923334,238.53003648923334,238.53003648923334,238.53003648923334,237.49067563336527,237.49067563336527,237.49067563336527,233.95067522893999,233.95067522893999,233.95067522893999,233.95067522893999,233.95067522893999
2020-10-08,238.53003648923334,238.53003648923334,238.53003648923334,238.53003648923334,239.51633813892235,239.51633813892235,239.51633813892235,239.51633813892235,238.53003648923334,238.53003648923334,238.53003648923334,235.21459934031733,235.21459934031733,235.21459934031733,235.21459934031733,235.21459934031733
2020-10-09,239.51633813892235,239.51633813892235,239.51633813892235,239.51633813892235,240.47848814794398,240.47848814794398,240.47848814794398,240.47848814794398,239.51633813892235,239.51633813892235,239.51633813892235,236.41101259721427,236.41101259721427,236.41101259721427,236.41101259721427,236.41101259721427
2020-10-10,240.47848814794398,240.47848814794398,240.47848814794398,240.47848814794398,241.13622612883847,241.13622612883847,241.13622612883847,241.13622612883847,240.47848814794398,240.47848814794398,240.47848814794398,237.49067563336527,237.49067563336527,237.49067563336527,237.49067563336527,237.49067563336527
2020-10-11,241.13622612883847,241.13622612883847,241.13622612883847,241.13622612883847,242.0807800748119,242.0807800748119,242.0807800748119,242.0807800748119,241.13622612883847,241.13622612883847,241.13622612883847,238.53003648923334,238.53003648923334,238.53003648923334,238.53003648923334,238.53003648923334
2020-10-12,242.0807800748119,242.0807800748119,242.0807800748119,242.0807800748119,242.92759116068274,242.92759116068274,242.92759116068274,242.92759116068274,242.0807800748119,242.0807800748119,242.0807800748119,239.51633813892235,239.51633813892235,239.51633813892235,239.51633813892235,239.51633813892235
2020-10-13,242.92759116068274,242.92759116068274,242.92759116068274,242.92759116068274,243.63392689343235,243.63392689343235,243.63392689343235,243.63392689343235,242.92759116068274,242.92759116068274,242.92759116068274,240.47848814794398,240.47848814794398,240.47848814794398,240.47848814794398,240.47848814794398
2020-10-14,243.63392689343235,243.63392689343235,243.63392689343235,243.63392689343235,244.28302766936193,244.28302766936193,244.28302766936193,244.28302766936193,243.63392689343235,243.63392689343235,243.63392689343235,241.13622612883847,241.13622612883847,241.13622612883847,241.13622612883847,241.13622612883847
2020-10-15,244.28302766936193,244.28302766936193,244.28302766936193,244.28302766936193,244.86905478744777,244.86905478744777,244.86905478744777,244.86905478744777,244.28302766936193,244.28302766936193,244.28302766936193,242.0807800748119,242.0807800748119,242.0807800748119,242.0807800748119,242.0807800748119
2020-10-16,244.86905478744777,244.86905478744777,244.86905478744777,244.86905478744777,245.42780166280392,245.42780166280392,245.42780166280392,245.42780166280392,244.86905478744777,244.86905478744777,244.86905478744777,242.92759116068274,242.92759116068274,242.92759116068274,242.92759116068274,242.92759116068274
2020-10-17,245.42780166280392,245.42780166280392,245.42780166280392,245.42780166280392,245.68570805836396,245.68570805836396,245.68570805836396,245.68570805836396,245.42780166280392,245.42780166280392,245.42780166280392,243.63392689343235,243.63392689343235,243.63392689343235,243.63392689343235,243.63392689343235
2020-10-18,245.68570805836396,245.68570805836396,245.68570805836396,245.68570805836396,246.2403723361599,246.2403723361599,246.2403723361599,246.2403723361599,245.68570805836396,245.68570805836396,245.68570805836396,244.28302766936193,244.28302766936193,244.28302766936193,244.28302766936193,244.28302766936193
2020-10-19,246.2403723361599,246.2403723361599,246.2403723361599,246.2403723361599,246.7131449021676,246.7131449021676,246.7131449021676,246.7131449021676,246.2403723361599,246.2403723361599,246.2403723361599,244.86905478744777,244.86905478744777,244.86905478744777,244.86905478744777,244.86905478744777
2020-10-20,246.7131449021676,246.7131449021676,246.7131449021676,246.7131449021676,247.06662588004235,247.06662588004235,247.06662588004235,247.06662588004235,246.7131449021676,246.7131449021676,246.7131449021676,245.42780166280392,245.42780166280392,245.42780166280392,245.42780166280392,245.42780166280392
2020-10-21,247.06662588004235,247.06662588004235,247.06662588004235,247.06662588004235,247.38871471058783,247.38871471058783,247.38871471058783,247.38871471058783,247.06662588004235,247.06662588004235,247.06662588004235,245.68570805836396,245.68570805836396,245.68570805836396,245.68570805836396,245.68570805836396
2020-10-22,247.38871471058783,247.38871471058783,247.38871471058783,247.38871471058783,247.67748178790106,247.67748178790106,247.67748178790106,247.67748178790106,247.38871471058783,247.38871471058783,247.38871471058783,246.2403723361599,246.2403723361599,246.2403723361599,246.2403723361599,246.2403723361599
2020-10-23,247.67748178790106,247.67748178790106,247.67748178790106,247.67748178790106,247.97182531135346,247.97182531135346,247.97182531135346,247.97182531135346,247.67748178790106,247.67748178790106,247.67748178790106,246.7131449021676,246.7131449021676,246.7131449021676,246.7131449021676,246.7131449021676
2020-10-24,247.97182531135346,247.97182531135346,247.97182531135346,247.97182531135346,248.00045395181064,248.00045395181064,248.00045395181064,248.00045395181064,247.97182531135346,247.97182531135346,247.97182531135346,247.06662588004235,247.06662588004235,247.06662588004235,247.06662588004235,247.06662588004235
2020-10-25,248.00045395181064,248.00045395181064,248.00045395181064,248.00045395181064,248.36239044961428,248.36239044961428,248.36239044961428,248.36239044961428,248.00045395181064,248.00045395181064,248.00045395181064,247.38871471058783,247.38871471058783,247.38871471058783,247.38871471058783,247.38871471058783
2020-10-26,248.36239044961428,248.36239044961428,248.36239044961428,248.36239044961428,248.67957878053002,248.67957878053002,248.67957878053002,248.67957878053002,248.36239044961428,248.36239044961428,248.36239044961428,247.67748178790106,247.67748178790106,247.67748178790106,247.67748178790106,247.67748178790106
2020-10-27,248.67957878053002,248.67957878053002,248.67957878053002,248.67957878053002,248.9144167623386,248.9144167623386,248.9144167623386,248.9144167623386,248.67957878053002,248.67957878053002,248.67957878053002,247.97182531135346,247.97182531135346,247.97182531135346,247.97182531135346,247.97182531135346
2020-10-28,248.9144167623386,248.9144167623386,248.9144167623386,248.9144167623386,249.15386005853233,249.15386005853233,249.15386005853233,249.15386005853233,248.9144167623386,248.9144167623386,248.9144167623386,248.00045395181064,248.00045395181064,248.00045395181064,248.00045395181064,248.00045395181064
2020-10-29,249.15386005853233,249.15386005853233,249.15386005853233,249.15386005853233,249.39436543502902,249.39436543502902,249.39436543502902,249.39436543502902,249.15386005853233,249.15386005853233,249.15386005853233,248.36239044961428,248.36239044961428,248.36239044961428,248.36239044961428,248.36239044961428
2020-10-30,249.39436543502902,249.39436543502902,249.39436543502902,249.39436543502902,249.6726337566803,249.6726337566803,249.6726337566803,249.6726337566803,249.39436543502902,249.39436543502902,249.39436543502902,248.67957878053002,248.67957878053002,248.67957878053002,248.67957878053002,248.67957878053002
2020-10-31,249.6726337566803,249.6726337566803,249.6726337566803,249.6726337566803,249.7146902812951,249.7146902812951,249.7146902812951,249.7146902812951,249.6726337566803,249.6726337566803,249.6726337566803,248.9144167623386,248.9144167623386,248.9144167623386,248.9144167623386,248.9144167623386
