,1Wc1,1KWc1,MWEc1,CPMc1,CWHc1,YWMc1,YWKc1,MWBWX,BL2c1,AGRc1,WEAc1,NWTc1,LWBc1
2020-09-15,226.9124380573941,226.9124380573941,226.9124380573941,226.45032220808693,226.9124380573941,226.9124380573941,226.9124380573941,226.45032220808693,226.45032220808693,226.45032220808693,226.45032220808693,225.08205231743503,226.45032220808693
2020-09-16,227.4167356929735,227.4167356929735,227.4167356929735,226.9124380573941,227.4167356929735,227.4167356929735,227.4167356929735,226.9124380573941,226.9124380573941,226.9124380573941,226.9124380573941,225.71072615653827,226.9124380573941
2020-09-17,227.8611854332149,227.8611854332149,227.8611854332149,227.4167356929735,227.8611854332149,227.8611854332149,227.8611854332149,227.4167356929735,227.4167356929735,227.4167356929735,227.4167356929735,226.06066785733597,227.4167356929735
2020-09-18,228.26380375955284,228.26380375955284,228.26380375955284,227.8611854332149,228.26380375955284,228.26380375955284,228.26380375955284,227.8611854332149,227.8611854332149,227.8611854332149,227.8611854332149,226.45032220808693,227.8611854332149
2020-09-19,228.82690293338976,228.82690293338976,228.82690293338976,228.26380375955284,228.82690293338976,228.82690293338976,228.82690293338976,228.26380375955284,228.26380375955284,228.26380375955284,228.26380375955284,226.9124380573941,228.26380375955284
2020-09-20,229.10547968010903,229.10547968010903,229.10547968010903,228.82690293338976,229.10547968010903,229.10547968010903,229.10547968010903,228.82690293338976,228.82690293338976,228.82690293338976,228.82690293338976,227.4167356929735,228.82690293338976
2020-09-21,229.41919909323752,229.41919909323752,229.41919909323752,229.10547968010903,229.41919909323752,229.41919909323752,229.41919909323752,229.10547968010903,229.10547968010903,229.10547968010903,229.10547968010903,227.8611854332149,229.10547968010903
2020-09-22,229.80202066485157,229.80202066485157,229.80202066485157,229.41919909323752,229.80202066485157,229.80202066485157,229.80202066485157,229.41919909323752,229.41919909323752,229.41919909323752,229.41919909323752,228.26380375955284,229.41919909323752
2020-09-23,230.2248466832114,230.2248466832114,230.2248466832114,229.80202066485157,230.2248466832114,230.2248466832114,230.2248466832114,229.80202066485157,229.80202066485157,229.80202066485157,229.80202066485157,228.82690293338976,229.80202066485157
2020-09-24,230.58678194887926,230.58678194887926,230.58678194887926,230.2248466832114,230.58678194887926,230.58678194887926,230.58678194887926,230.2248466832114,230.2248466832114,230.2248466832114,230.2248466832114,229.10547968010903,230.2248466832114
2020-09-25,230.90691159803504,230.90691159803504,230.90691159803504,230.58678194887926,230.90691159803504,230.90691159803504,230.90691159803504,230.58678194887926,230.58678194887926,230.58678194887926,230.58678194887926,229.41919909323752,230.58678194887926
2020-09-26,231.3885334513069,231.3885334513069,231.3885334513069,230.90691159803504,231.3885334513069,231.3885334513069,231.3885334513069,230.90691159803504,230.90691159803504,230.90691159803504,230.90691159803504,229.80202066485157,230.90691159803504
2020-09-27,231.5875309435015,231.5875309435015,231.5875309435015,231.3885334513069,231.5875309435015,231.5875309435015,231.5875309435015,231.3885334513069,231.3885334513069,231.3885334513069,231.3885334513069,230.2248466832114,231.3885334513069
2020-09-28,231.82434324196905,231.82434324196905,231.82434324196905,231.5875309435015,231.82434324196905,231.82434324196905,231.82434324196905,231.5875309435015,231.5875309435015,231.5875309435015,231.5875309435015,230.58678194887926,231.5875309435015
2020-09-29,232.13357988019882,232.13357988019882,232.13357988019882,231.82434324196905,232.13357988019882,232.13357988019882,232.13357988019882,231.82434324196905,231.82434324196905,231.82434324196905,231.82434324196905,230.90691159803504,231.82434324196905
2020-09-30,232.48666051848883,232.48666051848883,232.48666051848883,232.13357988019882,232.48666051848883,232.48666051848883,232.48666051848883,232.13357988019882,232.13357988019882,232.13357988019882,232.13357988019882,231.3885334513069,232.13357988019882
2020-10-01,232.7830690900407,232.7830690900407,232.7830690900407,232.48666051848883,232.7830690900407,232.7830690900407,232.7830690900407,232.48666051848883,232.48666051848883,232.48666051848883,232.48666051848883,231.5875309435015,232.48666051848883
2020-10-02,233.04212935197322,233.04212935197322,233.04212935197322,232.7830690900407,233.04212935197322,233.04212935197322,233.04212935197322,232.7830690900407,232.7830690900407,232.7830690900407,232.7830690900407,231.82434324196905,232.7830690900407
2020-10-03,233.4672384040205,233.4672384040205,233.4672384040205,233.04212935197322,233.4672384040205,233.4672384040205,233.4672384040205,233.04212935197322,233.04212935197322,233.04212935197322,233.04212935197322,232.13357988019882,233.04212935197322
2020-10-04,233.6142442803834,233.6142442803834,233.6142442803834,233.4672384040205,233.6142442803834,233.6142442803834,233.6142442803834,233.4672384040205,233.4672384040205,233.4672384040205,233.4672384040205,232.48666051848883,233.4672384040205
2020-10-05,233.8034241737128,233.8034241737128,233.8034241737128,233.6142442803834,233.8034241737128,233.8034241737128,233.8034241737128,233.6142442803834,233.6142442803834,233.6142442803834,233.6142442803834,232.7830690900407,233.6142442803834
2020-10-06,234.06911046813934,234.06911046813934,234.06911046813934,233.8034241737128,234.06911046813934,234.06911046813934,234.06911046813934,233.8034241737128,233.8034241737128,233.8034241737128,233.8034241737128,233.04212935197322,233.8034241737128
2020-10-07,234.3823449442323,234.3823449442323,234.3823449442323,234.06911046813934,234.3823449442323,234.3823449442323,234.3823449442323,234.06911046813934,234.06911046813934,234.06911046813934,234.06911046813934,233.4672384040205,234.06911046813934
