,RMSE,R2
1Wc1,21.024060195520523,-3.7482498897824303
1KWc1,29.73517515667963,-6.056741584594379
MWEc1,6.532019341766097,-0.4700682941791521
CPMc1,21.876967505380108,-0.9813270069359492
CWHc1,19.67513736338795,-2.326445249980688
YWMc1,12.774142281011189,-2.1337700610039967
YWKc1,121.65292526286814,-1901.0550546308932
MWBWX,17.836970817633453,-5.652721085709032
BL2c1,10.104161865942203,-0.4616728366902829
AGRc1,8.464180744238812,-19.999968583492013
WEAc1,14.301002275415096,-0.6765332098433892
NWTc1,4.298398644278298,-4.962217449991356
LWBc1,6.614411437626097,0.042615809578850916
