,time,Wheat_ID,price
0,2010-01-01,2HRW-USG-A1,
1,2010-01-02,2HRW-USG-A1,
2,2010-01-03,2HRW-USG-A1,
3,2010-01-04,2HRW-USG-A1,228.0
4,2010-01-05,2HRW-USG-A1,226.6
5,2010-01-06,2HRW-USG-A1,230.5
6,2010-01-07,2HRW-USG-A1,226.8
7,2010-01-08,2HRW-USG-A1,230.3
8,2010-01-09,2HRW-USG-A1,
9,2010-01-10,2HRW-USG-A1,
10,2010-01-11,2HRW-USG-A1,232.5
11,2010-01-12,2HRW-USG-A1,220.8
12,2010-01-13,2HRW-USG-A1,221.7
13,2010-01-14,2HRW-USG-A1,218.2
14,2010-01-15,2HRW-USG-A1,212.7
15,2010-01-16,2HRW-USG-A1,
16,2010-01-17,2HRW-USG-A1,
17,2010-01-18,2HRW-USG-A1,
18,2010-01-19,2HRW-USG-A1,211.2
19,2010-01-20,2HRW-USG-A1,211.1
20,2010-01-21,2HRW-USG-A1,210.7
21,2010-01-22,2HRW-USG-A1,212.0
22,2010-01-23,2HRW-USG-A1,
23,2010-01-24,2HRW-USG-A1,
24,2010-01-25,2HRW-USG-A1,211.6
25,2010-01-26,2HRW-USG-A1,211.8
26,2010-01-27,2HRW-USG-A1,208.1
27,2010-01-28,2HRW-USG-A1,209.7
28,2010-01-29,2HRW-USG-A1,206.8
29,2010-01-30,2HRW-USG-A1,
30,2010-01-31,2HRW-USG-A1,
31,2010-02-01,2HRW-USG-A1,207.0
32,2010-02-02,2HRW-USG-A1,211.2
33,2010-02-03,2HRW-USG-A1,205.5
34,2010-02-04,2HRW-USG-A1,207.4
35,2010-02-05,2HRW-USG-A1,206.6
36,2010-02-06,2HRW-USG-A1,
37,2010-02-07,2HRW-USG-A1,
38,2010-02-08,2HRW-USG-A1,210.7
39,2010-02-09,2HRW-USG-A1,208.7
40,2010-02-10,2HRW-USG-A1,214.5
41,2010-02-11,2HRW-USG-A1,215.4
42,2010-02-12,2HRW-USG-A1,212.9
43,2010-02-13,2HRW-USG-A1,
44,2010-02-14,2HRW-USG-A1,
45,2010-02-15,2HRW-USG-A1,
46,2010-02-16,2HRW-USG-A1,219.5
47,2010-02-17,2HRW-USG-A1,217.5
48,2010-02-18,2HRW-USG-A1,216.2
49,2010-02-19,2HRW-USG-A1,217.9
50,2010-02-20,2HRW-USG-A1,
51,2010-02-21,2HRW-USG-A1,
52,2010-02-22,2HRW-USG-A1,221.7
53,2010-02-23,2HRW-USG-A1,217.9
54,2010-02-24,2HRW-USG-A1,220.5
